symptom,remedies,description,usage,precautions,image_url
Hair Fall Dandruff,Bhringraj,Bhringraj nourishes hair and reduces dandruff.,Apply oil to scalp twice weekly; take 1 tsp powder daily.,Avoid in pregnancy without physician guidance.,https://example.com/images/bhringraj.jpg
Headache Stress,Brahmi,Brahmi improves focus and relieves stress-related headaches.,Take 1–2 tsp powder with warm milk or tablets daily.,Avoid overdose; caution in hypotension.,https://example.com/images/brahmi.jpg
Heart Disease Support,Arjuna Bark,Arjuna strengthens the heart and supports cardiovascular function.,Take decoction of bark 1 cup daily.,Avoid in hypotension; consult cardiologist if on medication.,https://example.com/images/arjuna_bark.jpg
Hepatitis Support,Kalmegh,Kalmegh supports liver detox and improves hepatitis recovery.,Take 1–2 g powder daily with warm water.,Avoid in low blood pressure or weak digestion.,https://example.com/images/kalmegh.jpg
High Blood Pressure Hypertension,Sarpagandha,Sarpagandha reduces blood pressure and calms the mind.,Take 250 mg root powder at bedtime.,Avoid in depression; use strictly under medical supervision.,https://example.com/images/sarpagandha.jpg
Immunity Weakness,Amla,Amla rejuvenates tissues and boosts immunity.,Take 1–2 tsp powder or 20 ml juice daily.,Avoid excess use in diarrhea.,https://example.com/images/amla.jpg
Indigestion Bloating,Hingvastak Churna,Hingvastak Churna improves digestion and reduces bloating.,Take 1–2 g powder with ghee before meals.,Avoid in gastric ulcers.,https://example.com/images/hingvastak_churna.jpg
Infertility Support,Kapikacchu,Kapikacchu improves sperm count and vitality.,Take 3–5 g seed powder with milk daily.,Avoid in high Pitta disorders.,https://example.com/images/kapikacchu.jpg
Insomnia Sleep Disorder,Tagara,Tagara promotes sound sleep and reduces insomnia.,Take 1 capsule (500 mg) at bedtime with milk.,Avoid overdose; may cause excessive drowsiness.,https://example.com/images/tagara.jpg
Joint Pain Arthritis,Ashwagandha,Ashwagandha reduces joint pain and strengthens bones.,Take 1–2 tsp powder with warm milk daily.,Avoid during pregnancy; monitor thyroid.,https://example.com/images/ashwagandha.jpg
Kidney Stones,Punarnava,Punarnava reduces swelling and supports kidney function.,Take 1 tsp decoction or powder twice daily.,Avoid in low blood pressure; consult physician.,https://example.com/images/punarnava.jpg
Liver Disorder,Bhumyamalaki,Bhumyamalaki detoxifies the liver and supports jaundice treatment.,Take 5–10 ml fresh juice twice daily.,Avoid in very weak patients without supervision.,https://example.com/images/bhumyamalaki.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
